163,IN906E503048,HELLA INFRA MARKET PRIVATE  LIMITED 0.01% SERIES A1 PARTLY PAID PREF 08SP39,HELLA INFRA MARKET PRIVATE  LIMITED,PREFERENCE SHARES,ACTIVE
164,IN906E503055,HELLA INFRA MARKET PRIVATE  LIMITED 0.01% SERIES B1 PARTLY PAID PREF 03JU40,HELLA INFRA MARKET PRIVATE  LIMITED,PREFERENCE SHARES,ACTIVE
165,IN906LL01019,FORERUNNER CAPITAL INVESTMENTS LIMITED EQ PP RE 5,FORERUNNER CAPITAL INVESTMENTS LIMITED,EQUITY SHARES,ACTIVE
166,IN906S801016,SVAKARMA FINANCE PRIVATE LIMITED EQ PP RE 1,SVAKARMA FINANCE PRIVATE LIMITED,EQUITY SHARES,ACTIVE
167,IN906WG01016,SYNBIOTICS LIMITED EQ PP RS.100/-,SYNBIOTICS LIMITED,EQUITY SHARES,ACTIVE
168,IN9070701010,MANASH LIFESTYLE PRIVATE LIMITED EQ PP RS. 5/-,MANASH LIFESTYLE PRIVATE LIMITED,EQUITY SHARES,ACTIVE
169,IN9070A01013,SHREE CEMENT INACTIVE-NPP,SHREE CEMENT LIMITED,Equity Shares,Deleted
170,IN9071I01014,INDOFIL INDUSTRIES LIMITED EQ PP RS. 4/-,INDOFIL INDUSTRIES LIMITED,Equity Shares,Deleted
171,IN9071I01022,INDOFIL INDUSTRIES LIMITED EQ PP RS.7/-,INDOFIL INDUSTRIES LIMITED,Equity Shares,Deleted
172,IN9071I01030,INDOFIL INDUSTRIES LIMITED EQ PP RS. 3/-,INDOFIL INDUSTRIES LIMITED,EQUITY SHARES,ACTIVE
173,IN9072A01019,INDIA STEEL WORKS LIMITED FP PRODIV 190100,INDIA STEEL WORKS LIMITED,Equity Shares,Deleted
174,IN9072A01027,INDIA STEEL WORKS LIMITED PP PRODIV 190100,INDIA STEEL WORKS LIMITED,Equity Shares,Deleted
175,IN9072B01017,DATASOFT APP PP PRODIV 270400,DATASOFT APPLICATION SOFTWARE (INDIA) LIMITED,Equity Shares,Deleted
176,IN9073A01017,KRISHNA FILAMNT EQ-PRO-DIV171198,KRISHNA FILAMENTS LIMITED,Equity Shares,Deleted
177,IN9074601018,METAMORPHOSIS ENGITECH INDIA PRIVATE LIMITED EQ PP RE. 0.1/-,METAMORPHOSIS ENGITECH INDIA PRIVATE LIMITED,EQUITY SHARES,ACTIVE
178,IN9074601026,METAMORPHOSIS ENGITECH INDIA PRIVATE LIMITED EQ PP RE.1/-,METAMORPHOSIS ENGITECH INDIA PRIVATE LIMITED,EQUITY SHARES,ACTIVE
179,IN9074601034,METAMORPHOSIS ENGITECH INDIA PRIVATE LIMITED EQ PP RS 2.5/-,METAMORPHOSIS ENGITECH INDIA PRIVATE LIMITED,EQUITY SHARES,ACTIVE
180,IN9075I01015,HEALTHCARE GLOBAL ENTERPRISES LTD EQ NEW PP RS.5/-,HEALTHCARE GLOBAL ENTERPRISES LTD,Equity Shares,Deleted
181,IN9078A01016,EMCO LTD PP PRODIV 250300,EMCO LIMITED,Equity Shares,Deleted
182,IN9078A01024,EMCO LTD PP RS.4 250300,EMCO LIMITED,Equity Shares,Deleted
183,IN9078A01032,EMCO LIMITED PP RS 7/- 250300,EMCO LIMITED,EQUITY SHARES,ACTIVE
184,IN9078I01019,ARCHIT ORGANOSYS LIMITED EQ PP RS. 5/-,ARCHIT ORGANOSYS LIMITED,EQUITY SHARES,DELETED
185,IN907CE01011,STERLITE INVESTMENT MANAGERS LIMITED EQ PP RE 0.25/-,INDIGRID INVESTMENT MANAGERS LIMITED,EQUITY SHARES,DELETED
186,IN907VO01010,NARMADA CLEAN TECH EQ PP RS 2/-,NARMADA CLEAN TECH,EQUITY SHARES,ACTIVE
187,IN907VO01028,NARMADA CLEAN TECH EQ PP RS 2.10/-,NARMADA CLEAN TECH,EQUITY SHARES,ACTIVE
188,IN9080P01010,NITCO PAINTS PRIVATE LIMITED EQ NEW PP RS. 10/-,NITCO PAINTS PRIVATE LIMITED,EQUITY SHARES,ACTIVE
189,IN9081A01010,TATA STEEL LIMITED EQ PP RS. 2.504/-,TATA STEEL LIMITED,EQUITY SHARES,SUSPENDED
